date,DAX
20200122,28.465
20200123,28.275
20200124,28.309999
20200127,27.705999
20200128,27.879999
20200129,27.855
20200130,27.705
20200131,27.1
20200203,27.385
20200204,27.82
20200205,28.17
20200206,28.242001
20200207,27.950001
20200210,27.975
20200211,28.254999
20200212,28.455
20200213,28.275
20200214,28.264999
20200218,28.059999
20200219,28.24
20200220,27.940001
20200221,27.92
20200224,26.815001
20200225,26.15
20200226,26.17
20200227,25.209999
20200228,24.950001
20200302,25.360001
20200303,25.091
20200304,25.719999
20200305,25.149
20200306,24.815001
20200309,22.690001
20200310,23.295
20200311,22.17
20200312,19.66
20200313,20.299999
20200316,18.290001
20200317,18.794001
20200318,17.385
20200319,17.610001
20200320,17.635
20200323,18.004999
20200324,19.743
20200325,20.4
20200326,21.018
20200327,20.5
20200330,20.625
20200331,20.594999
20200401,19.601
20200402,19.767
20200403,19.597
20200406,20.943001
20200407,21.290001
20200408,21.525
20200409,22.212999
20200413,21.733
20200414,22.433001
20200415,21.459999
20200416,21.289
20200417,22.163
20200420,21.885
20200421,21.313999
20200422,21.528999
20200423,21.316
20200424,21.424
20200427,22.068001
20200428,22.181999
20200429,22.950001
20200430,22.73
20200501,22.1
20200504,22.09
20200505,22.07
20200506,21.756001
20200507,22.045
20200508,22.568001
20200511,22.354
20200512,22.096001
20200513,21.528
20200514,21.392
20200515,21.41
20200518,23.110001
20200519,22.9
20200520,23.325001
20200521,22.989
20200522,23.048
20200526,23.878
20200527,24.455
20200528,24.650999
20200529,24.627001
20200601,25.295
20200602,25.615999
20200603,26.719999
20200604,26.719999
