date,hushen300
20200604,3982.1851
20200603,3983.6477
20200602,3983.5677
20200601,3971.3402
20200529,3867.0232
20200528,3856.6324
20200527,3845.6135
20200526,3872.7701
20200525,3829.3245
20200522,3824.064
20200521,3913.7949
20200520,3935.222
20200519,3956.2495
20200518,3922.9117
20200515,3912.8159
20200514,3925.2177
20200513,3968.2529
20200512,3960.2378
20200511,3960.1803
20200508,3963.6217
20200507,3924.8946
20200506,3936.2539
20200430,3912.5772
20200429,3867.032
20200428,3849.1465
20200427,3822.769
20200424,3796.9721
20200423,3829.7525
20200422,3839.3834
20200421,3808.0474
20200420,3853.4551
20200417,3839.4871
20200416,3802.3806
20200415,3797.3623
20200414,3825.6991
20200413,3753.2566
20200410,3769.1782
20200409,3792.8105
20200408,3780.3445
20200407,3798.0214
20200403,3713.2183
20200402,3734.5306
20200401,3675.0758
20200331,3686.1551
20200330,3674.1108
20200327,3710.0605
20200326,3698.0472
20200325,3722.5181
20200324,3625.1146
20200323,3530.3058
20200320,3653.2239
20200319,3589.0926
20200318,3636.2565
20200317,3709.6822
20200316,3727.8398
20200313,3895.3128
20200312,3950.9111
20200311,4028.4289
20200310,4082.7315
20200309,3997.1325
20200306,4138.5072
20200305,4206.7251
20200304,4115.0524
20200303,4091.3615
20200302,4069.6662
20200228,3940.0488
20200227,4084.8759
20200226,4073.0152
20200225,4123.8543
20200224,4132.8388
20200221,4149.4903
20200220,4144.6561
20200219,4051.3107
20200218,4057.5108
20200217,4077.4241
20200214,3987.7342
20200213,3959.9188
20200212,3984.4325
20200211,3952.4643
20200210,3916.0052
20200207,3899.8693
20200206,3899.7751
20200205,3828.5272
20200204,3785.6376
20200203,3688.3578
20200123,4003.9013
20200122,4131.9311
